OTU representative sequence,Seq no.,Kingdom,Phylum,Class,Subclass/Order,Family,Genus/Species,source ID,ML0100,ML0101,ML0102,ML0103,ML0104,ML0105,ML0106,ML0107,ML0108,ML0109,ML0110,ML0111,ML0112,ML0113,ML0114,ML0115,ML0116,ML0117,ML0127,ML0128,ML0129,ML0130,ML0131,ML0132,ML0133,ML0134,ML0135,ML0118,ML0119,ML0120,ML0121,ML0122,ML0123,ML0124,ML0125,ML0126,ML0136,ML0137,ML0138,ML0139,ML0140,ML0141,ML0142,ML0143,ML0144,ML0145,ML0146,ML0147,ML0148,ML0149,ML0150,ML0151,ML0152,ML0153
CVN8E:1558:1636,19,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa sanguinea,NCBI/BOLD,426,2,0,2849,1,592,0,424,1311,190,271,726,3578,309,504,869,659,2030,0,4,0,0,1,0,2,2608,4998,421,522,300,501,242,182,201,94,847,40,0,2,1,0,0,0,0,1,475,66,101,647,248,340,157,28,386
AJL8W:1788:3247,20,Animalia,Arthropoda,Maxillopoda,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,13,31,28,14,34,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CVN8E:583:1830,21,,,,,,,,0,0,0,0,0,0,0,0,0,282,1,0,1418,1031,1535,59,54,160,0,0,0,0,0,0,0,0,0,53,0,1,340,121,201,10,8,36,0,0,0,0,0,0,1,0,0,2,0,0,100,308,153,15,10,65
BN63R:1193:1511,22,Animalia,Arthropoda,,,,,SAP,2,6,3,13,5,23,15,22,35,0,0,0,0,0,0,0,1,0,54,53,14,45,48,80,162,75,68,0,0,0,0,0,0,0,0,0,99,159,93,22,134,88,316,168,303,0,0,1,0,0,0,0,0,0
CVN8E:339:2750,23,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,,SAP/2mm,0,0,220,49,148,78,3,25,0,0,0,0,1,0,5,87,55,2,61,101,2,9,10,153,27,1,20,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AJL8W:1217:2176,24,,,,,,,,0,0,0,0,0,0,0,0,0,1,12,3,0,1,10,1,4,1,0,0,0,0,0,0,0,0,0,42,142,123,18,70,34,70,90,39,0,0,0,0,1,0,0,0,1,54,33,61,33,28,52,20,49,30
BN63R:84:853,25,Animalia,Annelida,Polychaeta,,,,SAP/500?m,0,0,0,0,0,0,0,0,0,198,91,114,50,75,149,54,38,146,1,0,0,0,0,0,0,0,0,305,382,600,63,56,97,246,171,278,0,0,0,0,0,0,0,0,0,31,41,108,1,6,7,56,60,1
AJL8W:1844:1287,26,Animalia,Arthropoda,Arachnida,,,,SAP/500?m,0,0,0,0,0,0,0,0,1,195,363,45,5,52,4,0,1,2,0,0,0,0,0,0,0,0,0,40,83,25,14,38,18,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:638:1901,27,Chromista,Myzozoa,Syndiniophyceae,Syndiniales,Syndiniophyceae,,NCBI/BOLD,0,0,0,0,0,0,0,0,0,2,9,2,4,24,0,30,0,0,0,0,0,0,0,0,0,0,0,8,13,7,1,5,4,1,2,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
AJL8W:1411:1834,28,Animalia,Arthropoda,Maxillopoda,Calanoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1371:1407,29,Animalia,Arthropoda,Maxillopoda,Harpacticoida,,,NCBI/BOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,15,50,9,44,19,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:76:1997,30,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,6,4,1,2,0,11,8,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
AJL8W:1447:2527,31,Animalia,Arthropoda,,,,,SAP,12,7,29,79,25,13,2,14,25,0,1,0,0,0,2,4,0,0,52,75,51,43,19,16,22,7,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:1786:1661,32,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Ophiactis savignyi,NCBI/BOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50
CVN8E:589:2229,33,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Zoobotryon verticillatum,NCBI/BOLD,0,0,0,0,0,0,0,0,0,15,0,15,1,57,27,5,0,0,0,0,0,0,0,0,0,0,0,15,3,134,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,13,3,0,0,0,2,0,0,0
