OTU representative sequence,Seq no.,Kingdom,Phylum,Class,Subclass/Order,Family,Genus/Species,source ID,ML0100,ML0101,ML0102,ML0103,ML0104,ML0105,ML0106,ML0107,ML0108,ML0109,ML0110,ML0111,ML0112,ML0113,ML0114,ML0115,ML0116,ML0117,ML0127,ML0128,ML0129,ML0130,ML0131,ML0132,ML0133,ML0134,ML0135,ML0118,ML0119,ML0120,ML0121,ML0122,ML0123,ML0124,ML0125,ML0126,ML0136,ML0137,ML0138,ML0139,ML0140,ML0141,ML0142,ML0143,ML0144,ML0145,ML0146,ML0147,ML0148,ML0149,ML0150,ML0151,ML0152,ML0153
CVN8E:1106:1073,483,Animalia,Annelida,Polychaeta,,,,SAP,0,0,1,0,0,0,0,0,0,0,0,154,5,0,145,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6,54,134,40,6,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
BN63R:1683:821,484,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,11,2,4,0,0,0,8,8,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1
AJL8W:1613:2585,485,Animalia,Arthropoda,Maxillopoda,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,37,7,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:943:564,486,Animalia,Arthropoda,Maxillopoda,Cyclopoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1757:997,487,Animalia,Mollusca,Gastropoda,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1643:2231,488,Animalia,Arthropoda,Malacostraca,Amphipoda,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CVN8E:207:2103,489,Animalia,Xenacoelomorpha,,,,,SAP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN63R:954:1654,490,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula plana,NCBI/BOLD,108,40,57,68,46,27,13,55,39,5,8,1,9,45,19,9,3,18,3,0,2,0,1,20,9,6,2,2,0,0,1,1,4,2,2,2,233,558,5,2,1426,364,278,320,261,52,65,101,61,97,222,60,60,156
BN63R:534:2269,491,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:312:2133,492,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:934:1805,493,Animalia,Mollusca,Gastropoda,Nudibranchia,,,SAP,57,0,0,9,0,187,34,5,0,37,0,41,8,5,2,0,96,120,19,2,2,16,29,19,1,6,0,77,0,276,21,47,14,6,4,2,2,2,1,19,1,2,1,0,1,27,0,16,7,0,80,0,25,8
AJL8W:1064:2746,494,,,,,,,,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:720:724,495,Animalia,Annelida,Polychaeta,Phyllodocida,,,SAP,0,0,0,13,0,0,0,23,0,0,208,0,0,48,0,0,2,2,0,0,0,0,0,0,0,2,0,3,12,0,1,1,0,2,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
BN63R:1027:686,496,Animalia,Arthropoda,,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CVN8E:1205:1909,497,Animalia,Annelida,,,,,SAP,1,0,0,0,0,0,0,22,1,0,0,0,1,0,0,0,0,1,13,0,5,0,0,0,35,283,36,0,0,1,11,2,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0
BN63R:142:1160,498,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:887:1522,499,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:943:2721,500,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Myrianida pachycera,NCBI/BOLD,0,0,0,0,0,0,0,0,0,0,0,0,1,11,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AJL8W:890:1056,501,Animalia,Cnidaria,Scyphozoa,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:462:2244,502,Animalia,Arthropoda,Maxillopoda,Calanoida,,,SAP,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:939:1673,503,Animalia,Arthropoda,Maxillopoda,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1656:497,504,Animalia,Arthropoda,,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0
AJL8W:494:2537,505,Animalia,Nematoda,Chromadorea,,,,SAP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:795:1028,506,Animalia,Hemichordata,,,,,NCBI/BOLD,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN63R:1723:2872,507,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,1,4,4,3,16,6,0,0,0,0,0,0,0,0,0
BN63R:462:1648,508,Animalia,Chordata,Ascidiacea,Aplousobranchia,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7
BN63R:1022:2720,509,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:678:1077,510,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1642:2412,511,Animalia,Arthropoda,Maxillopoda,,,,SAP,5,0,0,4,0,4,1,0,2,0,0,0,3,0,0,0,0,0,72,31,80,103,98,103,83,42,22,2,0,1,1,8,2,0,0,2,18,16,13,10,4,10,7,7,8,0,0,0,0,0,0,0,0,0
BN63R:1763:1735,512,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
BN63R:139:1449,513,Animalia,Arthropoda,Maxillopoda,,,,SAP,4,2,1,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,19,10,12,16,13,3,13,20,11,3,1,1,0,1,1,2,0,2,4,17,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0
BN63R:1196:1357,514,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,12,42,107,56,2,13,10,0,0,0,0,0,0,0,0,0,0,1,16,7,9,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7,0,15,1,0,6,0
AJL8W:419:769,515,Animalia,Arthropoda,Malacostraca,Isopoda,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:1297:2049,516,Animalia,Arthropoda,Maxillopoda,Calanoida,,,SAP,0,0,0,0,0,0,0,0,0,5,37,12,31,26,73,4,5,23,7,0,21,2,2,2,2,2,1,64,177,186,47,117,90,223,114,74,3,3,1,1,1,0,0,2,3,724,320,796,291,343,817,274,639,1426
CVN8E:1244:1458,517,Animalia,Porifera,Demospongiae,Halichondrida,,,SAP,1,0,0,0,0,0,0,1,0,23,0,1,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1219,1210,1146,224,464,398,211,880,624
CVN8E:1211:2866,518,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CVN8E:601:1242,519,Animalia,Mollusca,Gastropoda,,,,SAP,4,7,27,1,0,0,4,2,0,1,71,1,14,11,8,12,1,19,1,0,1,0,0,0,0,0,1,0,5,3,3,4,0,5,1,2,4,47,0,5,21,10,16,16,21,10,2,2,23,6,23,1,2,2
AJL8W:312:2078,520,Animalia,Arthropoda,,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:703:2157,521,Animalia,Mollusca,Gastropoda,,,,SAP,0,4,0,0,0,0,0,0,0,0,0,8,52,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,6,7,1,0,0,0,0,1,0,0,0,9,6,0,0,0,3,11
AJL8W:1611:1255,522,,,,,,,,2,8,86,4,2,10,0,48,14,0,0,0,0,3,0,0,1,0,159,93,116,87,80,94,241,504,284,0,0,0,7,24,5,5,4,9,1,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
AJL8W:1935:1264,523,Animalia,Arthropoda,Arachnida,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:1329:2198,524,Animalia,Annelida,Polychaeta,Phyllodocida,,,SAP,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BN63R:767:1715,525,Animalia,Arthropoda,,,,,SAP,31,0,1,20,1,0,7,13,4,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83,185,48,0,8,3,173,84,128,0,0,0,0,0,0,1,0,0
CVN8E:1129:1344,526,Animalia,Annelida,Clitellata,Haplotaxida,Tubificidae,Tubificoides wasselli,NCBI/BOLD,0,0,0,0,0,0,18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:835:1437,527,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,63,8,3,0,12,16,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
AJL8W:408:2406,528,Animalia,Gastrotricha,,Chaetonotida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:945:1625,529,Animalia,Arthropoda,Maxillopoda,Siphonostomatoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
BN63R:1273:821,530,Plantae,Chlorophyta,Pedinophyceaeÿ,,,,SAP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0
CVN8E:817:2996,531,Animalia,Arthropoda,Maxillopoda,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:433:1083,532,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:836:2777,533,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:384:2119,534,Animalia,Arthropoda,,,,,SAP,0,0,0,0,0,0,0,0,0,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CVN8E:1275:2170,535,Animalia,Arthropoda,Pycnogonida,Pantopoda,,,SAP,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:1325:493,536,Animalia,Nemertea,,,,,SAP,3,14,89,144,1,26,16,5,16,2,7,1,18,6,11,6,34,8,1,1,0,0,2,3,0,1,2,4,5,5,8,10,33,9,12,3,1,0,0,0,0,0,0,0,0,0,2,0,0,3,9,1,5,2
CVN8E:546:957,537,Animalia,Mollusca,Gastropoda,Cephalaspidea,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
CVN8E:975:2512,538,Animalia,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Centropages hamatus,NCBI/BOLD,97,98,113,200,252,115,32,69,123,1,2,0,1,0,0,1,0,0,154,159,270,307,282,230,221,242,197,1,13,53,5,25,3,30,9,6,5,4,1,0,2,0,0,2,2,25,4,8,4,11,3,2,5,24
BN63R:667:2389,539,Animalia,Mollusca,,,,,SAP,0,5,1,2,5,0,0,0,0,2,5,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,6,23,28,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
AJL8W:1135:621,540,Animalia,Arthropoda,Maxillopoda,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,2,0,3,2
AJL8W:1754:2510,541,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Proceraea rubroproventriculata,NCBI/BOLD,0,0,0,0,0,0,0,0,0,7,5,0,0,20,5,0,1,2,0,0,0,0,0,0,0,0,0,4,9,19,38,20,51,1,4,8,0,0,0,0,0,0,0,0,3,0,4,0,4,4,23,0,38,0
CVN8E:1662:2320,542,Animalia,Cnidaria,Hydrozoa,,,,SAP,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AJL8W:1473:303,543,Animalia,Arthropoda,Maxillopoda,Calanoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,83,95,197,42,31,26,8,31,5,0,0,0,0,0,0,0,0,0,33,5,7,0,0,1,0,1,0
AJL8W:612:2138,544,,,,,,,,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0
AJL8W:1690:1134,545,Animalia,Chordata,Actinopterygii,,,,SAP,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:868:1592,546,Animalia,Arthropoda,Maxillopoda,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1541:1596,547,Animalia,Arthropoda,Maxillopoda,,,,SAP,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1725:1417,548,Animalia,Arthropoda,Maxillopoda,Siphonostomatoida,,,SAP,4,4,4,1,0,0,2,1,0,0,0,0,0,2,0,0,1,103,31,104,167,275,288,191,253,483,274,0,1,0,1,2,5,7,21,18,7,24,4,8,14,8,9,27,39,0,2,1,0,1,1,0,0,1
AJL8W:376:1730,549,Animalia,Arthropoda,Maxillopoda,Calanoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1925:2832,550,Animalia,Arthropoda,Malacostraca,Amphipoda,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1904:2143,551,Fungi,Basidiomycota,Agaricomycetes,,,,SAP,0,1,4,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,5,5,6,1,2,1,2,0,1,1,0,0,0,1,0,0
CVN8E:93:1437,552,Animalia,Arthropoda,Malacostraca,Amphipoda,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
AJL8W:1038:2413,553,Animalia,Arthropoda,Malacostraca,Amphipoda,,,SAP/500?m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
CVN8E:812:856,554,Animalia,Arthropoda,Maxillopoda,Cyclopoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,1,6,2,2,1
CVN8E:844:1355,555,Plantae,Chlorophyta,Prasinophyceae,,,,SAP,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN63R:1814:531,556,Animalia,Arthropoda,Maxillopoda,Harpacticoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AJL8W:147:2495,557,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN63R:1771:2886,558,Animalia,Arthropoda,Maxillopoda,Calanoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,0,1,3,3,0,9,1,1,2,4,2,0,1,0,2,1,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
AJL8W:1659:2019,559,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CVN8E:731:3057,560,Animalia,Annelida,,,,,SAP,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,23
CVN8E:1781:1172,561,Animalia,Nematoda,Enoplea,Enoplida,,,SAP/500?m,4,5,3,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,12,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,6,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
CVN8E:1325:3322,562,Chromista,Ochrophyta,Coscinodiscophyceae,Melosirales,,,SAP,0,0,6,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:1261:1088,563,Animalia,Arthropoda,,,,,SAP,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:1407:2731,564,Animalia,Cnidaria,Hydrozoa,Narcomedusae,,,SAP,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN63R:1561:2656,565,Animalia,Platyhelminthes,Turbellaria,Tricladida,,,SAP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AJL8W:879:2873,566,Animalia,Annelida,Polychaeta,Terebellida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN63R:953:1937,567,Animalia,Mollusca,Gastropoda,,,,SAP/2mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,138
CVN8E:1619:640,568,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Zoobotryon verticillatum,NCBI/BOLD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AJL8W:132:1519,569,Animalia,Arthropoda,Maxillopoda,Harpacticoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,23,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
CVN8E:778:1399,570,Animalia,Annelida,,,,,SAP,7,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
CVN8E:1331:1727,571,Animalia,Annelida,Polychaeta,Capitellida,Capitellidae,Capitella,NCBI/BOLD,0,0,15,30,0,8,2,12,1,24,116,2,361,346,4,0,0,1,2,0,2,5,1,3,0,3,0,9,104,0,16,1,6,19,5,3,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,1,1
CVN8E:1389:3135,572,Animalia,Annelida,Polychaeta,Phyllodocida,,,SAP,0,0,34,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:523:2921,573,Chromista,Ochrophyta,,,,,SAP,0,0,0,1,0,0,0,0,0,11,8,22,44,14,18,20,2,12,0,0,0,0,0,0,0,0,0,0,7,3,1,0,7,2,2,0,0,0,0,0,0,0,0,1,0,1,2,15,2,0,4,1,7,6
AJL8W:1906:2944,574,Animalia,Annelida,Polychaeta,Phyllodocida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
